variant,fold_id,subject_id,method,n_windows,accuracy,macro_f1,active_macro_f1,nll,override_free_pred_rate
assist_tail_shuffled_only,1,S015,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8443062542308308,0.5
assist_tail_shuffled_only,1,S022,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.846772540396808,0.5
assist_tail_shuffled_only,1,S034,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8455998946481846,0.5
assist_tail_shuffled_only,1,S036,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8451153721355062,0.5
assist_tail_shuffled_only,1,S039,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8448829938447286,0.5
assist_tail_shuffled_only,1,S107,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.8456677815355593,0.5
assist_tail_shuffled_only,1,S111,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.847086241396861,0.5
full_assist,2,S019,standardized_logreg_smoothed,4200,0.705952380952381,0.6106818561833587,0.5757994341673048,0.7835164679962738,0.29404761904761906
full_assist,2,S027,standardized_logreg_smoothed,4200,0.6692857142857143,0.5672672591979423,0.5454861704836667,0.8348442792499611,0.33071428571428574
full_assist,2,S033,standardized_logreg_smoothed,4200,0.795,0.7479998118142557,0.7109219778654136,0.7117113381405796,0.205
full_assist,2,S035,standardized_logreg_smoothed,4200,0.6445238095238095,0.4977195914821845,0.45515150595064086,0.8583240004907111,0.3554761904761905
full_assist,2,S040,standardized_logreg_smoothed,4200,0.6785714285714286,0.5800846353882103,0.5463960507803365,0.8317977678549687,0.32142857142857145
full_assist,2,S103,standardized_logreg_smoothed,4200,0.7328571428571429,0.6688157054353212,0.6496431105887112,0.7364657864726496,0.2671428571428571
full_assist,2,S105,standardized_logreg_smoothed,4200,0.5616666666666666,0.5627787341433677,0.6722194495664003,0.9471127887848799,0.43833333333333335
full_assist,2,S112,standardized_logreg_smoothed,4200,0.6933333333333334,0.5878012352570792,0.5419663958467855,0.7960002985787665,0.30666666666666664
full_assist,2,S113,standardized_logreg_smoothed,4200,0.4869047619047619,0.3170007202398659,0.3124532154154189,1.1618233000042948,0.513095238095238
user_emg_only,2,S019,standardized_logreg_smoothed,4200,0.5004761904761905,0.06491291554624276,0.00428417638518987,1.7421716708805266,0.49952380952380954
user_emg_only,2,S027,standardized_logreg_smoothed,4200,0.49738095238095237,0.0798283110778006,0.019849688891008358,1.7718118188208518,0.5026190476190476
user_emg_only,2,S033,standardized_logreg_smoothed,4200,0.49833333333333335,0.07385212981870017,0.01360470119246618,1.756250260356642,0.5016666666666667
user_emg_only,2,S035,standardized_logreg_smoothed,4200,0.4988095238095238,0.0630564013339133,0.002457002457002457,1.8445261299543694,0.5011904761904762
user_emg_only,2,S040,standardized_logreg_smoothed,4200,0.5014285714285714,0.07160701562055663,0.010866910670063767,1.6808036794641217,0.49857142857142855
user_emg_only,2,S103,standardized_logreg_smoothed,4200,0.4988095238095238,0.06069297178283794,0.0,1.7620609932561877,0.5011904761904762
user_emg_only,2,S105,standardized_logreg_smoothed,4200,0.49976190476190474,0.060596437541499466,0.0,1.8646297411920443,0.5002380952380953
user_emg_only,2,S112,standardized_logreg_smoothed,4200,0.51,0.08789034349845659,0.024844640912294193,1.6735150462392634,0.49
user_emg_only,2,S113,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.784134828250519,0.5
assist_prefix_only,2,S019,standardized_logreg_smoothed,4200,0.4990476190476191,0.0607025978163283,0.0,1.737932966290214,0.5009523809523809
assist_prefix_only,2,S027,standardized_logreg_smoothed,4200,0.5011904761904762,0.08063699930631918,0.019678410234064417,1.793289290237633,0.4988095238095238
assist_prefix_only,2,S033,standardized_logreg_smoothed,4200,0.5004761904761905,0.06424453095121369,0.003406485424172945,1.736248482909933,0.49952380952380954
assist_prefix_only,2,S035,standardized_logreg_smoothed,4200,0.49976190476190474,0.06397111675626962,0.0033361134278565474,1.803174325263781,0.5002380952380953
assist_prefix_only,2,S040,standardized_logreg_smoothed,4200,0.5004761904761905,0.06831553342990379,0.007558736691681876,1.6721464972404452,0.49952380952380954
assist_prefix_only,2,S103,standardized_logreg_smoothed,4200,0.5,0.060750705142113254,0.0,1.7466648004372756,0.5
assist_prefix_only,2,S105,standardized_logreg_smoothed,4200,0.49952380952380954,0.06074116965836711,0.0,1.8280436376998084,0.5004761904761905
assist_prefix_only,2,S112,standardized_logreg_smoothed,4200,0.5064285714285715,0.07848397423396146,0.015683042975378897,1.6916658522926693,0.49357142857142855
assist_prefix_only,2,S113,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.797583185409776,0.5
assist_tail_only,2,S019,standardized_logreg_smoothed,4200,0.6473809523809524,0.6081890918836295,0.6443685312636649,0.8551998412588498,0.3526190476190476
assist_tail_only,2,S027,standardized_logreg_smoothed,4200,0.6492857142857142,0.5112032647834722,0.4709370383094224,0.8180622112757532,0.3507142857142857
assist_tail_only,2,S033,standardized_logreg_smoothed,4200,0.7526190476190476,0.6874242861959968,0.6652462879960694,0.7505061294723319,0.24738095238095237
assist_tail_only,2,S035,standardized_logreg_smoothed,4200,0.6278571428571429,0.4892828197931486,0.46818505574414465,0.8589021637218086,0.37214285714285716
assist_tail_only,2,S040,standardized_logreg_smoothed,4200,0.6064285714285714,0.4973219261967412,0.4907728398448427,0.9560372271030453,0.39357142857142857
assist_tail_only,2,S103,standardized_logreg_smoothed,4200,0.7064285714285714,0.6353055620469035,0.6238666073435329,0.7805709772871506,0.2935714285714286
assist_tail_only,2,S105,standardized_logreg_smoothed,4200,0.585,0.5746062603433323,0.6614270021357275,0.9308340612998829,0.415
assist_tail_only,2,S112,standardized_logreg_smoothed,4200,0.6095238095238096,0.44475619334403244,0.4096276034375326,0.8800766651645588,0.3904761904761905
assist_tail_only,2,S113,standardized_logreg_smoothed,4200,0.39,0.33498037783365925,0.4081111456297561,1.2071816755940772,0.61
metadata_object_context,2,S019,standardized_logreg_smoothed,4200,0.4992857142857143,0.06140036459593468,0.0008616975441619992,0.975394800799854,0.5007142857142857
metadata_object_context,2,S027,standardized_logreg_smoothed,4200,0.5002380952380953,0.06396946303302203,0.003398470688190314,0.9747503615481287,0.49976190476190474
metadata_object_context,2,S033,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.9748873935279562,0.5
metadata_object_context,2,S035,standardized_logreg_smoothed,4200,0.49857142857142855,0.06049051044284601,0.0,0.9756801581490271,0.5014285714285714
metadata_object_context,2,S040,standardized_logreg_smoothed,4200,0.5009523809523809,0.06408322604636646,0.0034386609545332607,0.9756169526631571,0.4990476190476191
metadata_object_context,2,S103,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.9754116230312718,0.5
metadata_object_context,2,S105,standardized_logreg_smoothed,4200,0.4976190476190476,0.06621042971502479,0.005865102639296188,0.9782667397701228,0.5023809523809524
metadata_object_context,2,S112,standardized_logreg_smoothed,4200,0.5007142857142857,0.07053489278553217,0.0101010101010101,0.97513780851733,0.4992857142857143
metadata_object_context,2,S113,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,0.9748851208099278,0.5
full_assist_shuffled_tail,2,S019,standardized_logreg_smoothed,4200,0.4990476190476191,0.06067360437683634,0.0,1.7385433213201045,0.5009523809523809
full_assist_shuffled_tail,2,S027,standardized_logreg_smoothed,4200,0.5016666666666667,0.08144056408431413,0.02041542625819606,1.7928084435278842,0.49833333333333335
full_assist_shuffled_tail,2,S033,standardized_logreg_smoothed,4200,0.5009523809523809,0.06594340985576452,0.005066527402118588,1.7381199976916906,0.4990476190476191
full_assist_shuffled_tail,2,S035,standardized_logreg_smoothed,4200,0.49952380952380954,0.06395182314402797,0.0033361134278565474,1.8035863545023398,0.5004761904761905
full_assist_shuffled_tail,2,S040,standardized_logreg_smoothed,4200,0.5007142857142857,0.06921662059681277,0.008384938426557421,1.6735808646656873,0.4992857142857143
full_assist_shuffled_tail,2,S103,standardized_logreg_smoothed,4200,0.49976190476190474,0.0607314391528268,0.0,1.7476145782409116,0.5002380952380953
full_assist_shuffled_tail,2,S105,standardized_logreg_smoothed,4200,0.49952380952380954,0.06077988295961527,0.0,1.8287251959560125,0.5004761904761905
full_assist_shuffled_tail,2,S112,standardized_logreg_smoothed,4200,0.5085714285714286,0.08356113004639663,0.020662525057343215,1.6930685926844973,0.49142857142857144
full_assist_shuffled_tail,2,S113,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.7974122436765694,0.5
assist_tail_shuffled_only,2,S019,standardized_logreg_smoothed,4200,0.5,0.0606060606060606,0.0,1.845703581659986,0.5
