audit,split,fold_id,condition,policy,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,tau,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.10,0.16404761904761905,0.09645021645021647,0.08812756184324205,0.0818648219548168,0.90191353964575,0.030882215397935786,0.025904296392125662,0.025904296392125662,0.02674205557756259,0.8388095238095238,0.8388095238095238,4200,0.1,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.20,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,0.2,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=0.50,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,0.5,,,,,,
context_degradation,amputee_loso,8,global_shuffle,CD-margin tau=1.00,0.1619047619047619,0.09372294372294374,0.08626741138260864,0.07981789227886846,0.9012269944210805,0.03159398971188829,0.02674205557756259,0.02674205557756259,0.02674205557756259,0.8464285714285714,0.8464285714285714,4200,1.0,,,,,,
prospective_threshold,amputee_loso,8,clean,ConfGate dev cdc<=0.02,0.64,0.7124675324675326,0.6096099807889859,0.6770342704792544,0.2328909462777928,0.025878089026454037,0.012600164775975834,0.012600164775975834,0.018487734936670587,0.4869047619047619,0.4869047619047619,4200,,0.5193013131691867,cdc,0.02,0.019356260029480474,0.012600164775975834,-0.007399835224024166
prospective_threshold,amputee_loso,8,clean,ConfGate dev cdc<=0.05,0.655952380952381,0.811991341991342,0.6670312077479577,0.7729191181492816,0.26358284933523346,0.02562566700700739,0.018480986991482234,0.018480986991482234,0.018487734936670587,0.7211904761904762,0.7211904761904762,4200,,0.3119357720272889,cdc,0.05,0.028860275622888277,0.018480986991482234,-0.03151901300851777
prospective_threshold,amputee_loso,8,clean,ConfGate dev intervention<=0.10,0.47285714285714286,0.32441558441558443,0.30767135269578283,0.2851760939281725,0.35376919292898984,0.02331947255270967,0.0020598867421560206,0.0020598867421560206,0.018487734936670587,0.08833333333333333,0.08833333333333333,4200,,0.8083155208477091,intervention,0.1,0.1,0.08833333333333333,-0.011666666666666672
prospective_threshold,amputee_loso,8,clean,ConfGate dev intervention<=0.25,0.5780952380952381,0.5216017316017315,0.48323998419897585,0.4920790060802286,0.24474186460749792,0.024097772067479917,0.005714614518859523,0.005714614518859523,0.018487734936670587,0.23714285714285716,0.23714285714285716,4200,,0.6945745459087371,intervention,0.25,0.2365873015873016,0.23714285714285716,-0.012857142857142845
context_degradation,amputee_loso,9,clean,UserOnly,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,0.9021535692403981,0.0,0.0,0.0,0.06085021909629951,0.0,0.0,4200,,,,,,,
context_degradation,amputee_loso,9,clean,AssistOnly,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,0.58492909741711,0.06706138026881604,0.06085021909629951,0.06085021909629951,0.06085021909629951,0.9073809523809524,0.9073809523809524,4200,,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.00,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,0.9021535692403981,0.0,0.0,0.0,0.06085021909629951,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.01,0.1838095238095238,0.18225108225108225,0.13508413647047368,0.1543346219969676,0.7558208156510297,0.0055253896828871595,0.0011945366266813192,0.0011945366266813192,0.06085021909629951,0.21619047619047618,0.21619047619047618,4200,0.01,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.02,0.22095238095238096,0.2786147186147186,0.20908246645422468,0.26124629930956794,0.6807529045409457,0.009330624409693926,0.0035278646577604654,0.0035278646577604654,0.06085021909629951,0.3780952380952381,0.3780952380952381,4200,0.02,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.05,0.2792857142857143,0.4158441558441558,0.3034386998906055,0.4137512026333129,0.5959273280996107,0.0177289634222568,0.010650041598655692,0.010650041598655692,0.06085021909629951,0.6007142857142858,0.6007142857142858,4200,0.05,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.10,0.3314285714285714,0.5098701298701299,0.3698112942460442,0.5114349053042876,0.5651399510519501,0.027170957497578,0.019731290563717356,0.019731290563717356,0.06085021909629951,0.7261904761904762,0.7261904761904762,4200,0.1,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.20,0.3719047619047619,0.5807359307359307,0.41982388791344644,0.5828294211981164,0.5553804359272223,0.04122948561358134,0.03409285798475429,0.03409285798475429,0.06085021909629951,0.8269047619047619,0.8269047619047619,4200,0.2,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=0.50,0.39261904761904765,0.6187878787878788,0.44583066295681933,0.6202622075786178,0.586009143610181,0.06455491671495052,0.05826849744437558,0.05826849744437558,0.06085021909629951,0.9026190476190477,0.9026190476190477,4200,0.5,,,,,,
context_degradation,amputee_loso,9,clean,CD-margin tau=1.00,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,0.5906567671214185,0.06706138026881604,0.06085021909629951,0.06085021909629951,0.06085021909629951,0.9073809523809524,0.9073809523809524,4200,1.0,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.10,AssistOnly,0.39261904761904765,0.6187878787878788,0.4463469307434025,0.6210431705073517,0.58492909741711,0.06706138026881604,0.06085021909629951,0.06085021909629951,0.06085021909629951,0.9073809523809524,0.9073809523809524,4200,,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.10,CD-margin tau=0.00,0.15857142857142856,0.0864935064935065,0.06842247829520108,0.048858553449170256,0.9021535692403981,0.0,0.0,0.0,0.06085021909629951,0.0,0.0,4200,0.0,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.10,CD-margin tau=0.01,0.1838095238095238,0.18225108225108225,0.13508413647047368,0.1543346219969676,0.7572953677633184,0.0055253896828871595,0.0011945366266813192,0.0011945366266813192,0.06085021909629951,0.21619047619047618,0.21619047619047618,4200,0.01,,,,,,
context_degradation,amputee_loso,9,uniform_mix_lambda=0.10,CD-margin tau=0.02,0.22095238095238096,0.2786147186147186,0.20908246645422468,0.26124629930956794,0.6820697403109766,0.009330624409693926,0.0035278646577604654,0.0035278646577604654,0.06085021909629951,0.3780952380952381,0.3780952380952381,4200,0.02,,,,,,
