audit,split,fold_id,model,class_id,support,class_accuracy,tp,fn,fp
user_decoder_adequacy,amputee_loso,0,random_forest,10,210,0.06190476190476191,13,197,126
user_decoder_adequacy,amputee_loso,0,extra_trees,0,2100,0.9238095238095239,1940,160,922
user_decoder_adequacy,amputee_loso,0,extra_trees,1,210,0.15714285714285714,33,177,283
user_decoder_adequacy,amputee_loso,0,extra_trees,2,210,0.0380952380952381,8,202,37
user_decoder_adequacy,amputee_loso,0,extra_trees,3,210,0.02857142857142857,6,204,94
user_decoder_adequacy,amputee_loso,0,extra_trees,4,210,0.03333333333333333,7,203,35
user_decoder_adequacy,amputee_loso,0,extra_trees,5,210,0.15714285714285714,33,177,249
user_decoder_adequacy,amputee_loso,0,extra_trees,6,210,0.01904761904761905,4,206,33
user_decoder_adequacy,amputee_loso,0,extra_trees,7,210,0.0380952380952381,8,202,18
user_decoder_adequacy,amputee_loso,0,extra_trees,8,210,0.16666666666666666,35,175,178
user_decoder_adequacy,amputee_loso,0,extra_trees,9,210,0.06666666666666667,14,196,123
user_decoder_adequacy,amputee_loso,0,extra_trees,10,210,0.07142857142857142,15,195,125
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,0,2100,1.0,2100,0,2100
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,1,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,2,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,3,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,4,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,5,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,6,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,7,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,8,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,9,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_allclass,10,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,0,2100,0.0,0,2100,0
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,1,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,2,210,1.0,210,0,370
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,3,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,4,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,5,210,0.38095238095238093,80,130,180
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,6,210,0.7619047619047619,160,50,260
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,7,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,8,210,0.7619047619047619,160,50,320
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,9,210,1.0,210,0,310
context_prior_or_assist_ablation,amputee_loso,1,object_prior_active_conditional,10,210,0.38095238095238093,80,130,180
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,0,2100,1.0,2100,0,2100
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,1,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,2,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,3,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,4,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,5,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,6,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,7,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,8,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,9,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_allclass,10,210,0.0,0,210,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,0,2100,0.0,0,2100,0
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,1,210,0.7619047619047619,160,50,260
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,2,210,1.0,210,0,630
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,3,210,0.7619047619047619,160,50,160
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,4,210,0.7619047619047619,160,50,360
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,5,210,0.38095238095238093,80,130,180
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,6,210,0.7619047619047619,160,50,260
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,7,210,0.38095238095238093,80,130,80
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,8,210,0.7619047619047619,160,50,420
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,9,210,0.7619047619047619,160,50,260
context_prior_or_assist_ablation,amputee_loso,1,object_only_prior_active_conditional,10,210,0.38095238095238093,80,130,180
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,0,2100,0.005714285714285714,12,2088,5
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,1,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,2,210,1.0,210,0,367
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,3,210,0.9857142857142858,207,3,209
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,4,210,1.0,210,0,209
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,5,210,0.47619047619047616,100,110,242
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,6,210,0.6666666666666666,140,70,199
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,7,210,1.0,210,0,207
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,8,210,0.8047619047619048,169,41,344
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,9,210,0.8571428571428571,180,30,222
context_prior_or_assist_ablation,amputee_loso,1,metadata_extra_trees,10,210,0.4666666666666667,98,112,240
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,0,2100,0.0,0,2100,0
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,1,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,2,210,0.9047619047619048,190,20,309
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,3,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,4,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,5,210,0.5714285714285714,120,90,301
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,6,210,0.6666666666666666,140,70,200
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,7,210,1.0,210,0,210
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,8,210,0.6190476190476191,130,80,230
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,9,210,1.0,210,0,310
context_prior_or_assist_ablation,amputee_loso,1,metadata_logreg,10,210,0.5238095238095238,110,100,270
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,0,2100,0.8180952380952381,1718,382,512
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,1,210,0.8238095238095238,173,37,66
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,2,210,0.638095238095238,134,76,24
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,3,210,0.8142857142857143,171,39,53
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,4,210,0.8714285714285714,183,27,58
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,5,210,0.6761904761904762,142,68,157
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,6,210,0.49047619047619045,103,107,50
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,7,210,0.8095238095238095,170,40,50
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,8,210,0.5142857142857142,108,102,40
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,9,210,0.6047619047619047,127,83,30
context_prior_or_assist_ablation,amputee_loso,1,assist_full_extra_trees,10,210,0.3523809523809524,74,136,57
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,0,2100,0.5128571428571429,1077,1023,122
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,1,210,0.9952380952380953,209,1,149
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,2,210,0.9571428571428572,201,9,131
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,3,210,0.9857142857142858,207,3,121
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,4,210,1.0,210,0,101
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,5,210,0.6238095238095238,131,79,103
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,6,210,0.7428571428571429,156,54,137
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,7,210,0.9619047619047619,202,8,86
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,8,210,0.6857142857142857,144,66,153
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,9,210,0.7761904761904762,163,47,106
context_prior_or_assist_ablation,amputee_loso,1,assist_tail_extra_trees,10,210,0.5952380952380952,125,85,166
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,0,2100,0.9047619047619048,1900,200,1527
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,1,210,0.01904761904761905,4,206,44
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,2,210,0.009523809523809525,2,208,34
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,3,210,0.009523809523809525,2,208,39
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,4,210,0.014285714285714285,3,207,19
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,5,210,0.06666666666666667,14,196,168
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,6,210,0.0,0,210,4
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,7,210,0.004761904761904762,1,209,3
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,8,210,0.2761904761904762,58,152,254
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,9,210,0.023809523809523808,5,205,17
context_prior_or_assist_ablation,amputee_loso,1,assist_prefix_extra_trees,10,210,0.10952380952380952,23,187,79
user_decoder_adequacy,amputee_loso,1,lda,0,2100,0.9180952380952381,1928,172,1356
user_decoder_adequacy,amputee_loso,1,lda,1,210,0.01904761904761905,4,206,20
user_decoder_adequacy,amputee_loso,1,lda,2,210,0.0,0,210,0
user_decoder_adequacy,amputee_loso,1,lda,3,210,0.0,0,210,0
user_decoder_adequacy,amputee_loso,1,lda,4,210,0.0,0,210,0
user_decoder_adequacy,amputee_loso,1,lda,5,210,0.13333333333333333,28,182,244
user_decoder_adequacy,amputee_loso,1,lda,6,210,0.0,0,210,0
user_decoder_adequacy,amputee_loso,1,lda,7,210,0.009523809523809525,2,208,29
user_decoder_adequacy,amputee_loso,1,lda,8,210,0.3761904761904762,79,131,424
user_decoder_adequacy,amputee_loso,1,lda,9,210,0.06190476190476191,13,197,68
user_decoder_adequacy,amputee_loso,1,lda,10,210,0.0,0,210,5
user_decoder_adequacy,amputee_loso,1,logreg,0,2100,0.6338095238095238,1331,769,787
user_decoder_adequacy,amputee_loso,1,logreg,1,210,0.014285714285714285,3,207,26
user_decoder_adequacy,amputee_loso,1,logreg,2,210,0.15714285714285714,33,177,449
user_decoder_adequacy,amputee_loso,1,logreg,3,210,0.004761904761904762,1,209,61
user_decoder_adequacy,amputee_loso,1,logreg,4,210,0.004761904761904762,1,209,27
user_decoder_adequacy,amputee_loso,1,logreg,5,210,0.09523809523809523,20,190,179
user_decoder_adequacy,amputee_loso,1,logreg,6,210,0.004761904761904762,1,209,87
user_decoder_adequacy,amputee_loso,1,logreg,7,210,0.023809523809523808,5,205,120
user_decoder_adequacy,amputee_loso,1,logreg,8,210,0.3761904761904762,79,131,864
user_decoder_adequacy,amputee_loso,1,logreg,9,210,0.01904761904761905,4,206,37
user_decoder_adequacy,amputee_loso,1,logreg,10,210,0.023809523809523808,5,205,80
user_decoder_adequacy,amputee_loso,1,random_forest,0,2100,0.8819047619047619,1852,248,1308
user_decoder_adequacy,amputee_loso,1,random_forest,1,210,0.0380952380952381,8,202,65
user_decoder_adequacy,amputee_loso,1,random_forest,2,210,0.014285714285714285,3,207,54
user_decoder_adequacy,amputee_loso,1,random_forest,3,210,0.0,0,210,26
user_decoder_adequacy,amputee_loso,1,random_forest,4,210,0.0,0,210,12
user_decoder_adequacy,amputee_loso,1,random_forest,5,210,0.2619047619047619,55,155,604
user_decoder_adequacy,amputee_loso,1,random_forest,6,210,0.0,0,210,4
user_decoder_adequacy,amputee_loso,1,random_forest,7,210,0.0,0,210,5
user_decoder_adequacy,amputee_loso,1,random_forest,8,210,0.12380952380952381,26,184,138
user_decoder_adequacy,amputee_loso,1,random_forest,9,210,0.023809523809523808,5,205,23
user_decoder_adequacy,amputee_loso,1,random_forest,10,210,0.009523809523809525,2,208,10
user_decoder_adequacy,amputee_loso,1,extra_trees,0,2100,0.8842857142857142,1857,243,1295
user_decoder_adequacy,amputee_loso,1,extra_trees,1,210,0.08095238095238096,17,193,104
user_decoder_adequacy,amputee_loso,1,extra_trees,2,210,0.014285714285714285,3,207,65
user_decoder_adequacy,amputee_loso,1,extra_trees,3,210,0.0,0,210,10
user_decoder_adequacy,amputee_loso,1,extra_trees,4,210,0.0,0,210,15
user_decoder_adequacy,amputee_loso,1,extra_trees,5,210,0.1619047619047619,34,176,475
user_decoder_adequacy,amputee_loso,1,extra_trees,6,210,0.0,0,210,2
user_decoder_adequacy,amputee_loso,1,extra_trees,7,210,0.0,0,210,2
user_decoder_adequacy,amputee_loso,1,extra_trees,8,210,0.16666666666666666,35,175,233
user_decoder_adequacy,amputee_loso,1,extra_trees,9,210,0.01904761904761905,4,206,35
user_decoder_adequacy,amputee_loso,1,extra_trees,10,210,0.023809523809523808,5,205,9
