audit,split,fold_id,subject_id,model,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,n
context_prior_or_assist_ablation,all_subject_kfold,3,S012,assist_tail_extra_trees,0.7230952380952381,0.8117316017316017,0.7106309474975993,0.7704880082942173,0.5928535284272982,0.06828055062346232,0.364911693396638,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S015,assist_tail_extra_trees,0.6866666666666666,0.7232900432900432,0.6682919335080435,0.7233888179865232,0.6576470946748265,0.08458457315194913,0.40715753291481477,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S016,assist_tail_extra_trees,0.6464285714285715,0.8040259740259742,0.6567872432644402,0.769459284641041,0.6709722870811637,0.04822451525192995,0.4260092712304177,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S020,assist_tail_extra_trees,0.7047619047619048,0.7904761904761904,0.6948614467217525,0.7612394462898778,0.6442081906757355,0.07175510571448177,0.4025100821179247,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S023,assist_tail_extra_trees,0.6821428571428572,0.8261038961038962,0.6935604339053576,0.7889932728421978,0.6244118695215604,0.037086340484622164,0.3932477923059758,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S029,assist_tail_extra_trees,0.7076190476190476,0.8217748917748917,0.7025808659149856,0.7784565821317316,0.5996251618797516,0.058853349592151986,0.37517106087678637,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S030,assist_tail_extra_trees,0.61,0.8157142857142857,0.6436255846489005,0.790644963963517,0.7010932508610596,0.08052982144224842,0.4519510910855681,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S111,assist_tail_extra_trees,0.7161904761904762,0.7508658008658009,0.6902169296751521,0.7302252982455887,0.6500205621543136,0.11231321932685528,0.3948466135794721,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S113,assist_tail_extra_trees,0.4930952380952381,0.7605627705627704,0.5634081852593632,0.7692778546890651,0.8944018624506751,0.12854792424020028,0.58900510934918,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S012,assist_prefix_extra_trees,0.5345238095238095,0.19030303030303025,0.19507674966313937,0.13321923485275067,1.7052891474896656,0.19031288751338624,0.6751356777230698,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S015,assist_prefix_extra_trees,0.5138095238095238,0.18692640692640694,0.17533061486429055,0.11597983448505862,1.7512724887035174,0.19746713212344696,0.7056497148373744,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S016,assist_prefix_extra_trees,0.5114285714285715,0.14480519480519483,0.13108489685365404,0.06933569968882863,1.8051132044481788,0.20085502364770574,0.7157966081035907,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S020,assist_prefix_extra_trees,0.5314285714285715,0.17064935064935063,0.17181890063305294,0.10798295361955551,1.706773228882423,0.20252606238266796,0.674575728998426,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S023,assist_prefix_extra_trees,0.5140476190476191,0.16982683982683985,0.16737024213254606,0.10841068014834511,1.8067536982392534,0.1913790870133338,0.7176302263041953,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S029,assist_prefix_extra_trees,0.5002380952380953,0.1712121212121212,0.1671461185907493,0.10835168295717928,1.8056439157094262,0.189490036071604,0.7210965636260342,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S030,assist_prefix_extra_trees,0.5161904761904762,0.21073593073593075,0.19735591122501156,0.1378341603790485,1.7394169698652429,0.20339523200177462,0.6921756115013691,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S111,assist_prefix_extra_trees,0.4169047619047619,0.08787878787878788,0.07549117667022186,0.022429752707498286,2.049144747178875,0.12396755602797259,0.800484638225762,4200
context_prior_or_assist_ablation,all_subject_kfold,3,S113,assist_prefix_extra_trees,0.5026190476190476,0.09567099567099566,0.07125088225104118,0.008192553296758468,1.794446696941602,0.17793262107167668,0.6883933936354966,4200
user_decoder_adequacy,all_subject_kfold,3,S012,lda,0.513095238095238,0.15523809523809523,0.14621589389951842,0.08606059921667795,1.6546863298435135,0.07257145062229996,0.6470264129919893,4200
user_decoder_adequacy,all_subject_kfold,3,S015,lda,0.49404761904761907,0.14554112554112553,0.12272440108689588,0.06268588220350803,1.770733808475757,0.05397129984011077,0.6814260684436945,4200
user_decoder_adequacy,all_subject_kfold,3,S016,lda,0.508095238095238,0.1570562770562771,0.1339258536823935,0.07608057473672765,1.7727888109026417,0.04799318306433467,0.6715538851713271,4200
user_decoder_adequacy,all_subject_kfold,3,S020,lda,0.49857142857142855,0.1416883116883117,0.12846767785271856,0.0705656717696628,1.7074265672428437,0.0981422812314532,0.6656285375025135,4200
user_decoder_adequacy,all_subject_kfold,3,S023,lda,0.5028571428571429,0.14051948051948052,0.11693025604579449,0.05992097156592949,1.6946682806945792,0.07325309557754593,0.6588447906062502,4200
user_decoder_adequacy,all_subject_kfold,3,S029,lda,0.5104761904761905,0.12125541125541126,0.10622836899423628,0.04422639777533272,1.7333131871389464,0.06631017434218461,0.6811703516671803,4200
user_decoder_adequacy,all_subject_kfold,3,S030,lda,0.5173809523809524,0.19108225108225108,0.15990935704887652,0.09669758081324194,1.7111446001355204,0.08302732572750147,0.6499763427315879,4200
user_decoder_adequacy,all_subject_kfold,3,S111,lda,0.49785714285714283,0.0916883116883117,0.06303705186755391,0.0024183040216727153,1.9798820491363187,0.23068760891554269,0.7866793366995346,4200
user_decoder_adequacy,all_subject_kfold,3,S113,lda,0.5,0.09090909090909091,0.0609251925671265,0.0,1.8226824347474369,0.15085103185914894,0.6909132700241128,4200
user_decoder_adequacy,all_subject_kfold,3,S012,logreg,0.3919047619047619,0.24307359307359305,0.22735363418659374,0.20193806888877316,2.184056256007778,0.1988664985932498,0.848067615711074,4200
user_decoder_adequacy,all_subject_kfold,3,S015,logreg,0.31952380952380954,0.18627705627705626,0.16206337284570882,0.13678866183348062,2.3233925842524887,0.14951485295387074,0.8766336823947265,4200
user_decoder_adequacy,all_subject_kfold,3,S016,logreg,0.3030952380952381,0.17354978354978354,0.153786489779389,0.12116560054756045,2.3582825872529005,0.1354310068239569,0.877652476940516,4200
user_decoder_adequacy,all_subject_kfold,3,S020,logreg,0.2735714285714286,0.1892207792207792,0.16333245740860522,0.14427773716130954,2.2856514536471075,0.11209650385556323,0.8768294732668228,4200
user_decoder_adequacy,all_subject_kfold,3,S023,logreg,0.3430952380952381,0.18705627705627706,0.17209991903928618,0.14526693120140488,2.2147154738902075,0.15914611211286295,0.8543065417899961,4200
user_decoder_adequacy,all_subject_kfold,3,S029,logreg,0.2895238095238095,0.18471861471861473,0.1568508007990499,0.13996718443409242,2.2586000074480235,0.1068218040699743,0.8702847971102011,4200
user_decoder_adequacy,all_subject_kfold,3,S030,logreg,0.35119047619047616,0.2033333333333333,0.17521525537456492,0.1417450391794958,2.2819284696319015,0.17852006338460874,0.867706220284177,4200
user_decoder_adequacy,all_subject_kfold,3,S111,logreg,0.26285714285714284,0.09961038961038961,0.09429404678192871,0.06661861869220001,2.344689537373601,0.10706678048476612,0.887709780962942,4200
user_decoder_adequacy,all_subject_kfold,3,S113,logreg,0.5107142857142857,0.12441558441558441,0.1083630673064023,0.036457362490984274,2.0612293688351997,0.32969423429345285,0.819945613903221,4200
user_decoder_adequacy,all_subject_kfold,3,S012,random_forest,0.5269047619047619,0.2235930735930736,0.22440629639915438,0.16550543292593584,1.7298908035518044,0.19205607635004182,0.6883427891133345,4200
user_decoder_adequacy,all_subject_kfold,3,S015,random_forest,0.4957142857142857,0.22181818181818186,0.2125570131980849,0.15836192461029294,1.7769196313931537,0.1780607171627653,0.7120598334691088,4200
user_decoder_adequacy,all_subject_kfold,3,S016,random_forest,0.4726190476190476,0.17865800865800865,0.1684277550379121,0.11246110898143907,1.854461722231537,0.1663884482947881,0.7328009424449025,4200
user_decoder_adequacy,all_subject_kfold,3,S020,random_forest,0.5273809523809524,0.256017316017316,0.25316259420612414,0.19778116291615053,1.7069916738793713,0.19574897967487576,0.680175139540212,4200
user_decoder_adequacy,all_subject_kfold,3,S023,random_forest,0.4530952380952381,0.19653679653679654,0.18471792476319238,0.14134679186150653,1.8829184521375966,0.15656016803775152,0.7513722104192527,4200
user_decoder_adequacy,all_subject_kfold,3,S029,random_forest,0.4219047619047619,0.21385281385281385,0.19227998845659283,0.16314926135276275,1.931426218782765,0.1259083215537327,0.7622646555361726,4200
user_decoder_adequacy,all_subject_kfold,3,S030,random_forest,0.49547619047619046,0.24787878787878787,0.2271350828405734,0.1731425632921577,1.735150912281144,0.16131790202478444,0.686303644454946,4200
user_decoder_adequacy,all_subject_kfold,3,S111,random_forest,0.3230952380952381,0.08601731601731602,0.08411524099530839,0.04462711967832133,2.197392388504002,0.05705818296766329,0.8422391031603293,4200
user_decoder_adequacy,all_subject_kfold,3,S113,random_forest,0.5047619047619047,0.09956709956709955,0.07720637357380845,0.01285137916656393,1.7812099749682209,0.17347870644121535,0.6763652565798146,4200
user_decoder_adequacy,all_subject_kfold,3,S012,extra_trees,0.5214285714285715,0.20974025974025973,0.20179235852974226,0.14225952921779048,1.7486358360620895,0.1991051836585616,0.6945189111152852,4200
user_decoder_adequacy,all_subject_kfold,3,S015,extra_trees,0.5121428571428571,0.22090909090909092,0.20830272275411418,0.15202648788997822,1.7662220315275117,0.19932209507423357,0.7093054941940009,4200
