audit,split,fold_id,condition,policy,tau,accuracy,balanced_accuracy,macro_f1,active_macro_f1,risk_coverage_auc,mean_cdc,expected_cdc,mean_cdc_all,candidate_cdc_all,intervention_rate,changed_vs_user_rate,n_test,threshold,budget_type,budget,dev_budget_value,test_budget_value,test_budget_gap,pareto
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.02,0.02,0.367010582010582,0.23681577681577684,0.2201198344786985,0.20649466547287465,0.6279631520516071,0.010611370049839754,0.0008028708556227963,0.0008028708556227963,0.10087706079950383,0.07566137566137567,0.07566137566137567,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.05,0.05,0.4327513227513228,0.38461279461279463,0.34831317525755956,0.37331265097773014,0.5481288890943088,0.02855649511117728,0.00731741300653077,0.00731741300653077,0.10087706079950383,0.2562433862433862,0.2562433862433862,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.10,0.1,0.4738624338624339,0.6006156806156807,0.4817453034146475,0.5956997853708074,0.5005908053838207,0.053367184198750715,0.03085131505584922,0.03085131505584922,0.10087706079950383,0.5780952380952381,0.5780952380952381,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.20,0.2,0.4996825396825397,0.7156565656565657,0.5416836380429154,0.70324125327613,0.47226873311230516,0.0712269192402084,0.053602967503338844,0.053602967503338844,0.10087706079950383,0.7525661375661375,0.7525661375661375,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=0.50,0.5,0.5164814814814814,0.7440355940355939,0.5625517356098806,0.7312150078771236,0.47129147754409284,0.08317371892132494,0.0660372923880107,0.0660372923880107,0.10087706079950383,0.793968253968254,0.793968253968254,37800,,,,,,,True
context_degradation,all_subject_kfold,1,clean,CD-margin tau=1.00,1.0,0.5263492063492063,0.7560461760461762,0.576050044986716,0.7462143345061104,0.44654102114186095,0.12086063068847051,0.10087706079950383,0.10087706079950383,0.10087706079950383,0.8346560846560847,0.8346560846560847,37800,,,,,,,True
prospective_threshold,all_subject_kfold,1,clean,ConfGate dev cdc<=0.02,,0.4745767195767196,0.4544684944684944,0.40078640669168913,0.43635949138725444,0.4627189406114735,0.17054118168345936,0.04418279873614067,0.04418279873614067,0.10087706079950383,0.25907407407407407,0.25907407407407407,37800,0.7315671848147292,cdc,0.02,0.01910827509713194,0.04418279873614067,0.02418279873614067,True
prospective_threshold,all_subject_kfold,1,clean,ConfGate dev cdc<=0.05,,0.528994708994709,0.693063973063973,0.5469695686231723,0.6803437173328925,0.43931792694933447,0.12850393023319798,0.08465281393483763,0.08465281393483763,0.10087706079950383,0.6587566137566138,0.6587566137566138,37800,0.4719126970778657,cdc,0.05,0.04951743092807774,0.08465281393483763,0.03465281393483763,True
prospective_threshold,all_subject_kfold,1,clean,ConfGate dev intervention<=0.10,,0.3996296296296296,0.2969023569023569,0.2764348535557075,0.2755960987548558,0.5522667818093586,0.25443831647548326,0.02958350266957007,0.02958350266957007,0.10087706079950383,0.11626984126984127,0.11626984126984127,37800,0.8520620400102912,intervention,0.1,0.09846938775510204,0.11626984126984127,0.016269841269841268,True
prospective_threshold,all_subject_kfold,1,clean,ConfGate dev intervention<=0.25,,0.4745767195767196,0.4544684944684944,0.40078640669168913,0.43635949138725444,0.4627189406114735,0.17054118168345936,0.04418279873614067,0.04418279873614067,0.10087706079950383,0.25907407407407407,0.25907407407407407,37800,0.7315671848147292,intervention,0.25,0.23360544217687074,0.25907407407407407,0.009074074074074068,True
