split,fold_id,calibration,branch,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,temperature_user,temperature_assist,dirichlet_user_method,dirichlet_assist_method
amputee_loso,5,scalar_temperature,user,0.15642857142857142,0.13324675324675325,0.10342588457583636,0.1050256157634628,2.377473955918897,0.07101318309401652,0.9061162776410601,9.999614316765504,9.999547080366932,,
amputee_loso,5,scalar_temperature,assist,0.580952380952381,0.7835497835497836,0.614430593960478,0.7642101646904053,1.4999025547115938,0.33145957023240735,0.6816713288405796,9.999614316765504,9.999547080366932,,
amputee_loso,5,dirichlet_logreg,user,0.3883333333333333,0.14112554112554113,0.1037919426786623,0.05411298164103361,3.048679003257104,0.21909511735337597,0.9053283679904717,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,5,dirichlet_logreg,assist,0.575952380952381,0.4167965367965367,0.41801279872179364,0.4102960051029749,1.0805045324462337,0.0839071283431293,0.5624716084061183,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,6,none,user,0.36833333333333335,0.17021645021645024,0.13320504707843994,0.08805354603234417,2.2900527006895564,0.2012007613578626,0.8689811435692278,,,,
amputee_loso,6,none,assist,0.44595238095238093,0.7539393939393939,0.524984186199864,0.7522832430643324,1.4105737111759902,0.34273370276059484,0.7841187100361416,,,,
amputee_loso,6,scalar_temperature,user,0.36833333333333335,0.17021645021645024,0.13320504707843994,0.08805354603234417,2.2955029145695125,0.2329448972445127,0.8865128994929422,2.430609972846884,2.541480751183725,,
amputee_loso,6,scalar_temperature,assist,0.44595238095238093,0.7539393939393939,0.524984186199864,0.7522832430643324,0.9972172408541805,0.15429897277718294,0.605158576110739,2.430609972846884,2.541480751183725,,
amputee_loso,6,dirichlet_logreg,user,0.47523809523809524,0.13705627705627704,0.10893189694289113,0.048337796566956116,2.0446707204752594,0.048588597421743776,0.7216962433296935,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,6,dirichlet_logreg,assist,0.6209523809523809,0.5441991341991342,0.549655134132785,0.5725591418714944,0.8082233680944091,0.03747764167064432,0.4906217581698857,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,7,none,user,0.05,0.09090909090909091,0.008658008658008658,0.01818181818181818,26.24947006013262,0.9499999999899998,1.8999999999791002,,,,
amputee_loso,7,none,assist,0.058333333333333334,0.10606060606060605,0.027543660024242266,0.04663536403093944,26.0192115508333,0.941666666656667,1.883333333312617,,,,
amputee_loso,7,scalar_temperature,user,0.05,0.09090909090909091,0.008658008658008658,0.01818181818181818,15.155949018181454,0.9499988212374904,1.899997536387883,1.7319583267403347,2.2755904779676452,,
amputee_loso,7,scalar_temperature,assist,0.058333333333333334,0.10606060606060605,0.027543660024242266,0.04663536403093944,11.434101638712804,0.9416133797874603,1.8832229438053507,1.7319583267403347,2.2755904779676452,,
amputee_loso,7,dirichlet_logreg,user,0.05,0.09090909090909091,0.008658008658008658,0.01818181818181818,17.454888795733282,0.9499978586978356,1.8999949978124746,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,7,dirichlet_logreg,assist,0.05857142857142857,0.10610389610389609,0.027630198901833016,0.04663536403093944,13.215143403275095,0.9338007844653137,1.8662327719611234,,,dirichlet_logreg,dirichlet_logreg
amputee_loso,8,none,user,0.3880952380952381,0.18121212121212119,0.14367284657271784,0.1003648852220801,2.1613829899765853,0.19989733832787715,0.8448034543816891,,,,
amputee_loso,8,none,assist,0.6557142857142857,0.8119480519480521,0.6668998556144394,0.7729191181492816,0.7571676081667319,0.12533446952406607,0.4635471101208696,,,,
amputee_loso,8,scalar_temperature,user,0.3880952380952381,0.18121212121212119,0.14367284657271784,0.1003648852220801,2.2895783115520594,0.2686934476311723,0.8865560981618602,2.8815717269165835,2.392460507526564,,
amputee_loso,8,scalar_temperature,assist,0.6557142857142857,0.8119480519480521,0.6668998556144394,0.7729191181492816,0.723920631974271,0.045841977041881726,0.4318354804025673,2.8815717269165835,2.392460507526564,,
